k,c,z
3.14451,1.20131,1.00682
3.22801,1.26837,1.1822
3.57199,1.42543,1.47493
3.61417,1.36392,1.19783
3.4789,1.28521,1.02841
3.34736,1.24936,1.00979
2.995,1.08671,0.749917
2.76205,1.05062,0.804109
2.70667,1.08077,0.959421
2.76873,1.12869,1.08405
2.90925,1.18916,1.18376
2.95325,1.17887,1.09855
2.89554,1.13681,0.993152
2.79765,1.09726,0.937121
2.46341,0.922914,0.64007
2.19181,0.858061,0.635145
2.06795,0.86261,0.759122
2.00435,0.85739,0.805393
1.90546,0.81333,0.741591
2.0876,0.947201,1.08709
2.14961,0.937394,0.968499
2.38978,1.05551,1.19857
2.52598,1.07288,1.11508
2.7045,1.13705,1.18744
2.99537,1.24873,1.34323
3.0694,1.21923,1.1447
2.97862,1.15297,0.977882
2.8878,1.12609,0.961102
2.85631,1.13176,1.01055
2.75812,1.08525,0.929084
2.72045,1.08943,0.979198
2.5426,0.997334,0.808698
2.537,1.04166,0.975387
2.67687,1.11975,1.14444
2.93628,1.22446,1.30373
3.29629,1.35028,1.45163
3.36347,1.30053,1.18268
3.20684,1.20259,0.960928
3.01395,1.13685,0.892902
2.87371,1.10906,0.912603
2.72379,1.06117,0.873584
2.55944,1.0066,0.825383
2.39356,0.954006,0.787477
2.1951,0.879902,0.707925
2.03948,0.842506,0.716115
2.15014,0.949896,1.02233
2.38393,1.05224,1.19095
2.4675,1.04235,1.05155
2.46309,1.01907,0.962025
2.38064,0.972752,0.867159
2.59489,1.11221,1.20548
2.73709,1.13811,1.15673
2.71776,1.09323,0.996154
2.58191,1.02126,0.857457
2.59916,1.0664,1.00957
2.41593,0.955564,0.774963
2.21953,0.888834,0.716329
2.25123,0.962283,0.958693
2.28948,0.975665,0.971197
2.41904,1.03858,1.08924
2.81216,1.21769,1.41959
3.14188,1.29793,1.39975
3.38693,1.34901,1.35264
3.63397,1.41893,1.39019
3.88407,1.48735,1.42623
4.30239,1.63655,1.63006
4.37322,1.5684,1.32344
4.29442,1.51701,1.20624
4.167,1.47282,1.15066
3.8184,1.32329,0.91545
3.66369,1.33176,1.04584
3.30779,1.17838,0.812451
3.4046,1.32129,1.22169
3.68884,1.44389,1.43475
3.77581,1.4192,1.26345
3.65527,1.33745,1.07003
3.42771,1.24729,0.942222
3.13902,1.14779,0.834384
3.08232,1.19189,1.02786
3.23313,1.28578,1.24556
3.35899,1.31498,1.24037
3.43372,1.32393,1.20547
3.29644,1.23317,0.993993
3.12384,1.17447,0.932314
3.09555,1.20293,1.05675
3.07565,1.19923,1.06095
2.95471,1.1382,0.946158
2.87392,1.12452,0.967711
2.68385,1.03791,0.827753
2.67084,1.08062,0.993442
2.73439,1.11876,1.07943
2.83172,1.15596,1.12908
3.01036,1.22766,1.23661
2.83442,1.08797,0.871309
2.7862,1.10656,0.981503
2.70236,1.07208,0.93167
2.77446,1.13282,1.09477
2.79298,1.12527,1.04639
2.66202,1.04732,0.878791
2.56274,1.02528,0.88877
2.42114,0.969382,0.817313
2.35897,0.971672,0.883515
2.33837,0.975978,0.920967
2.34761,0.986554,0.953044
2.32753,0.972619,0.919068
2.37786,1.00641,1.0008
2.38831,0.999578,0.962223
2.49106,1.05432,1.07487
2.66733,1.12539,1.17907
2.87423,1.19403,1.24253
2.90269,1.16005,1.0747
3.20764,1.3139,1.38803
3.62601,1.45497,1.54857
3.82916,1.45889,1.36995
4.14827,1.57413,1.52394
4.78403,1.80797,1.8753
4.9735,1.73718,1.47629
5.05298,1.74202,1.43545
4.96232,1.67812,1.29111
4.88539,1.66525,1.299
4.78439,1.63446,1.26468
4.70916,1.62292,1.27507
4.52343,1.5485,1.1592
4.24833,1.45624,1.04843
4.0216,1.40985,1.04927
3.95311,1.4318,1.16691
3.81807,1.37856,1.08763
3.67279,1.33665,1.0553
3.62327,1.34707,1.12864
3.45484,1.27019,0.99675
3.26105,1.20866,0.939913
3.05855,1.14745,0.893125
2.91568,1.1209,0.918427
2.8878,1.14202,1.01967
2.75026,1.07251,0.89062
2.64235,1.04749,0.896695
2.51628,1.0036,0.853066
2.38052,0.958253,0.814272
2.33318,0.967482,0.89317
2.35415,0.991621,0.966375
2.27169,0.938058,0.843551
